 Table 4 of paper 1
  -3.50  -3.50         2.12132034        2.12132034        2.12132034  0.0E+00 0.0E+00
  -3.50  -2.50         2.04040981        2.04040981        2.04040992  5.2E-08 5.2E-08
  -3.50  -1.50         1.95401179        1.95401179        1.95401190  5.2E-08 5.2E-08
  -3.50  -0.50         1.86035462        1.86035559        1.86035569  5.8E-07 5.2E-08
  -3.50   0.50         1.75598179        1.75598184        1.75598193  7.8E-08 5.2E-08
  -3.50   1.50         1.62917838        1.62917839        1.62917847  5.9E-08 5.2E-08
  -3.50   2.50         1.48548531        1.48548533        1.48548541  6.3E-08 5.2E-08
  -3.50   3.50         1.35499406        1.35499412        1.35499419  9.5E-08 5.2E-08
  -2.50  -3.50         1.95697834        1.95697834        1.95697845  5.2E-08 5.2E-08
  -2.50  -2.50         1.87082869        1.87082869        1.87082869  0.0E+00 0.0E+00
  -2.50  -1.50         1.77824921        1.77824921        1.77824930  5.2E-08 5.2E-08
  -2.50  -0.50         1.67700137        1.67700355        1.67700363  1.3E-06 5.2E-08
  -2.50   0.50         1.56257050        1.56257057        1.56257065  9.8E-08 5.2E-08
  -2.50   1.50         1.41872399        1.41872400        1.41872407  5.9E-08 5.2E-08
  -2.50   2.50         1.25857059        1.25857062        1.25857068  7.1E-08 5.2E-08
  -2.50   3.50         1.12513362        1.12513374        1.12513380  1.6E-07 5.2E-08
  -1.50  -3.50         1.77471785        1.77471785        1.77471794  5.2E-08 5.2E-08
  -1.50  -2.50         1.68182193        1.68182193        1.68182202  5.2E-08 5.2E-08
  -1.50  -1.50         1.58113883        1.58113883        1.58113883  0.0E+00 0.0E+00
  -1.50  -0.50         1.46969385        1.46969385        1.46969392  5.2E-08 5.2E-08
  -1.50   0.50         1.34118577        1.34118592        1.34118599  1.6E-07 5.2E-08
  -1.50   1.50         1.17126079        1.17126080        1.17126086  5.9E-08 5.2E-08
  -1.50   2.50         0.99247161        0.99247166        0.99247171  1.1E-07 5.2E-08
  -1.50   3.50         0.86922669        0.86922699        0.86922703  4.0E-07 5.2E-08
  -0.50  -3.50         1.56577390        1.56578852        1.56578860  9.4E-06 5.2E-08
  -0.50  -2.50         1.46350099        1.46351853        1.46351861  1.2E-05 5.2E-08
  -0.50  -1.50         1.35127918        1.35127918        1.35127925  5.2E-08 5.2E-08
  -0.50  -0.50         1.22474487        1.22474487        1.22474487  0.0E+00 0.0E+00
  -0.50   0.50         1.07407680        1.07407680        1.07407686  5.2E-08 5.2E-08
  -0.50   1.50         0.85764535        0.85764536        0.85764540  6.3E-08 5.2E-08
  -0.50   2.50         0.67330010        0.67330033        0.67330036  4.0E-07 5.2E-08
  -0.50   3.50         0.61598961        0.61599062        0.61599065  1.7E-06 5.2E-08
   0.50  -3.50         1.30813932        1.30814755        1.30814761  6.3E-06 5.2E-08
   0.50  -2.50         1.19046476        1.19047256        1.19047262  6.6E-06 5.2E-08
   0.50  -1.50         1.05833564        1.05834321        1.05834326  7.2E-06 5.2E-08
   0.50  -0.50         0.90400842        0.90400842        0.90400847  5.2E-08 5.2E-08
   0.50   0.50         0.70710678        0.70710678        0.70710678  0.0E+00 0.0E+00
   0.50   1.50         0.38872999        0.38873013        0.38873015  4.0E-07 5.2E-08
   0.50   2.50         0.42426224        0.42426407        0.42426409  4.4E-06 5.2E-08
   0.50   3.50         0.60368908        0.60369234        0.60369237  5.5E-06 5.2E-08
   1.50  -3.50         0.92086392        0.92086915        0.92086920  5.7E-06 5.2E-08
   1.50  -2.50         0.77207798        0.77208232        0.77208236  5.7E-06 5.2E-08
   1.50  -1.50         0.60368908        0.60369234        0.60369237  5.5E-06 5.2E-08
   1.50  -0.50         0.42426219        0.42426407        0.42426409  4.5E-06 5.2E-08
   1.50   0.50         0.38872999        0.38873013        0.38873015  4.0E-07 5.2E-08
   1.50   1.50         0.70710678        0.70710678        0.70710678  0.0E+00 0.0E+00
   1.50   2.50         0.90399998        0.90400842        0.90400847  9.4E-06 5.2E-08
   1.50   3.50         1.05833564        1.05834321        1.05834326  7.2E-06 5.2E-08
   2.50  -3.50         0.73484376        0.73484692        0.73484696  4.4E-06 5.2E-08
   2.50  -2.50         0.65183291        0.65183502        0.65183505  3.3E-06 5.2E-08
   2.50  -1.50         0.61598958        0.61599062        0.61599065  1.7E-06 5.2E-08
   2.50  -0.50         0.67330009        0.67330033        0.67330036  4.0E-07 5.2E-08
   2.50   0.50         0.85764535        0.85764536        0.85764540  6.3E-08 5.2E-08
   2.50   1.50         1.07407624        1.07407680        1.07407686  5.8E-07 5.2E-08
   2.50   2.50         1.22474487        1.22474487        1.22474487  0.0E+00 0.0E+00
   2.50   3.50         1.35127918        1.35127918        1.35127925  5.2E-08 5.2E-08
   3.50  -3.50         0.79693132        0.79693290        0.79693294  2.0E-06 5.2E-08
   3.50  -2.50         0.80691372        0.80691456        0.80691460  1.1E-06 5.2E-08
   3.50  -1.50         0.86922668        0.86922699        0.86922703  4.0E-07 5.2E-08
   3.50  -0.50         0.99247161        0.99247166        0.99247171  1.1E-07 5.2E-08
   3.50   0.50         1.17126079        1.17126080        1.17126086  5.9E-08 5.2E-08
   3.50   1.50         1.34118577        1.34118592        1.34118599  1.6E-07 5.2E-08
   3.50   2.50         1.46969385        1.46969385        1.46969392  5.2E-08 5.2E-08
   3.50   3.50         1.58113883        1.58113883        1.58113883  0.0E+00 0.0E+00
