 Table 3 of paper 1
  -0.95  -0.95         0.51282051        0.51282051        0.51282051  0.0E+00 0.0E+00
  -0.95  -0.57         0.55535479        0.55535479        0.55535479  1.2E-14 2.9E-12
  -0.95  -0.19         0.60791691        0.60791691        0.60791691  8.5E-15 3.1E-12
  -0.95   0.19         0.67545323        0.67545323        0.67545323  2.1E-14 2.4E-12
  -0.95   0.57         0.76755518        0.76755518        0.76755518  1.8E-14 1.8E-12
  -0.95   0.95         0.90428984        0.90428984        0.90428984  5.5E-14 4.1E-12
  -0.57  -0.95         0.58342152        0.58342152        0.58342152  6.4E-15 6.4E-12
  -0.57  -0.57         0.63694268        0.63694268        0.63694268  0.0E+00 0.0E+00
  -0.57  -0.19         0.70425421        0.70425421        0.70425421  1.6E-15 8.3E-13
  -0.57   0.19         0.79279973        0.79279973        0.79279973  5.7E-15 5.0E-13
  -0.57   0.57         0.91786341        0.91786341        0.91786341  2.3E-14 6.0E-13
  -0.57   0.95         1.11675226        1.11675226        1.11675226  4.7E-14 3.7E-12
  -0.19  -0.95         0.67982327        0.67982327        0.67982327  4.3E-15 3.8E-12
  -0.19  -0.57         0.75004065        0.75004065        0.75004065  8.8E-16 3.6E-13
  -0.19  -0.19         0.84033613        0.84033613        0.84033613  0.0E+00 0.0E+00
  -0.19   0.19         0.96273876        0.96273876        0.96273876  1.0E-15 4.1E-15
  -0.19   0.57         1.14366890        1.14366890        1.14366890  6.2E-15 9.4E-13
  -0.19   0.95         1.45953734        1.45953734        1.45953734  7.2E-15 1.8E-12
   0.19  -0.95         0.82196313        0.82196313        0.82196313  5.5E-15 8.4E-13
   0.19  -0.57         0.92026724        0.92026724        0.92026724  2.4E-16 1.6E-13
   0.19  -0.19         1.05054372        1.05054372        1.05054372  7.2E-19 1.8E-13
   0.19   0.19         1.23456790        1.23456790        1.23456790  0.0E+00 0.0E+00
   0.19   0.57         1.52444536        1.52444536        1.52444536  7.6E-15 1.4E-11
   0.19   0.95         2.10562436        2.10562436        2.10562436  6.8E-15 3.2E-11
   0.57  -0.95         1.06293284        1.06293284        1.06293284  7.0E-15 4.8E-12
   0.57  -0.57         1.21816169        1.21816169        1.21816169  3.5E-15 8.5E-12
   0.57  -0.19         1.43365813        1.43365813        1.43365813  5.9E-15 1.0E-11
   0.57   0.19         1.75843151        1.75843151        1.75843151  1.3E-15 2.0E-11
   0.57   0.57         2.32558140        2.32558140        2.32558140  0.0E+00 0.0E+00
   0.57   0.95         3.77963837        3.77963837        3.77963837  2.3E-14 7.0E-12
   0.95  -0.95         1.66982335        1.66982335        1.66982335  4.0E-14 3.3E-11
   0.95  -0.57         2.02668669        2.02668669        2.02668669  1.2E-14 6.4E-12
   0.95  -0.19         2.58135132        2.58135132        2.58135132  1.3E-14 1.4E-10
   0.95   0.19         3.56764083        3.56764083        3.56764083  2.0E-14 1.6E-10
   0.95   0.57         5.85737543        5.85737543        5.85737543  1.8E-16 4.9E-11
   0.95   0.95        20.00000000       20.00000000       20.00000000  0.0E+00 0.0E+00
